WORDS,FREQ.,,"""FREQ IS THE TOTAL NO OF OCCURENCES OF THAT WORD ACROSS ALL CLUSTERS FOR ALL ARTICLES."""
babes,1,,
jpb,1,,
company,25,,
scene,2,,
handfuls,1,,
mr,2,,
reference,1,,
necessity,1,,
money,148,,
wineskins,3,,
limitations,9,,
pastors,42,,
altar,4,,
messiah,7,,
accomplishment,3,,
region,1,,
lot,8,,
obedience,25,,
renewal,4,,
bear,4,,
elders,5,,
freshness,1,,
tasteless,1,,
gen,12,,
disciples,209,,
ancestor,1,,
arthritis,2,,
speech,10,,
interest,2,,
earnestness,1,,
psalmist,4,,
miracles,17,,
command,6,,
crowd,1,,
key,8,,
minute,2,,
inhabitants,6,,
jews,5,,
hilltop,1,,
methods,4,,
psa,13,,
jacob,16,,
wood,1,,
use,5,,
normalization,1,,
dictionary,1,,
barnabas,4,,
mark,12,,
employee,2,,
p,1,,
covet,3,,
pastor,19,,
thank,1,,
many,1,,
heroes,2,,
vision,8,,
star,3,,
mention,1,,
garbage,4,,
dead,3,,
rudeness,1,,
forefront,3,,
section,1,,
shamgar,1,,
thy,1,,
dignitaries,1,,
zeal,43,,
nation,44,,
control,9,,
tim,62,,
alertness,2,,
sinner,5,,
testaments,1,,
majority,7,,
present,2,,
hall,3,,
jeremiah,11,,
competition,7,,
bitternesses,2,,
wholehearted,2,,
demonstrations,2,,
conscience,1,,
focus,1,,
temple,48,,
open,2,,
neighborhood,1,,
hardship,1,,
hundredfold,1,,
temptation,120,,
home,33,,
sign,1,,
nationalities,1,,
sarah,10,,
privacy,3,,
duty,1,,
jn,6,,
emotionalism,1,,
sphere,1,,
effect,1,,
consideration,2,,
adherents,1,,
oneness,5,,
emphasis,9,,
witness,1,,
promise,44,,
fork,2,,
delhi,3,,
claim,2,,
rivers,3,,
habit,5,,
unfairness,1,,
conversation,14,,
areas,14,,
child,17,,
belt,2,,
phillipi,1,,
problems,13,,
organizer,1,,
requirements,1,,
trust,3,,
doctorate,2,,
craftiness,3,,
marriage,4,,
bunch,6,,
consciences,4,,
battlefield,2,,
despair,1,,
furtherance,3,,
cities,8,,
easter,1,,
stitch,1,,
aim,15,,
bishops,2,,
possession,1,,
bethany,3,,
guile,7,,
meow,1,,
healer,1,,
prophecy,24,,
allegiance,1,,
face,102,,
humbler,1,,
rope,2,,
destination,1,,
union,2,,
cry,10,,
risk,1,,
attest,1,,
harvest,4,,
toe,2,,
commission,3,,
daytime,1,,
jealousy,2,,
heavenlies,3,,
repetition,6,,
rom,11,,
husband,13,,
conjunction,1,,
year,29,,
illusion,4,,
outlook,1,,
proverb,2,,
knees,4,,
evergreen,3,,
tozer,2,,
gadara,2,,
consequence,1,,
offerer,1,,
credit,5,,
russia,1,,
plenty,40,,
worry,1,,
patter,1,,
habitation,1,,
deception,3,,
square,3,,
victors,2,,
favor,1,,
mood,1,,
outworking,2,,
openness,3,,
strategy,2,,
argument,2,,
administrator,2,,
equipment,1,,
error,1,,
income,6,,
ship,1,,
sparkle,1,,
directions,13,,
detail,4,,
table,4,,
ham,2,,
puritan,1,,
cana,4,,
chaff,6,,
clock,6,,
proclaim,3,,
mba,1,,
problem,10,,
juice,1,,
compromiser,3,,
arrogance,3,,
actors,1,,
wast,1,,
ministry,42,,
thanksgiving,2,,
frustration,2,,
youth,3,,
scriptures,7,,
wilderness,12,,
coast,3,,
hebrew,2,,
barrier,2,,
salvation,122,,
months,14,,
housewives,1,,
exercise,5,,
dominions,1,,
threat,2,,
safety,1,,
law,8,,
confirmation,3,,
function,1,,
eli,1,,
shortage,4,,
daughters,14,,
deeds,4,,
mule,1,,
share,5,,
security,5,,
pilot,2,,
parables,8,,
red,2,,
exod,1,,
art,1,,
brother,73,,
death,39,,
church,127,,
dwellers,2,,
ramadan,1,,
garden,7,,
army,3,,
responsibility,5,,
rod,11,,
lk,60,,
protestants,3,,
babylonians,1,,
companionship,2,,
knot,1,,
realization,2,,
col,38,,
laban,2,,
yieldedness,4,,
spell,2,,
bull,1,,
give,2,,
plan,35,,
rule,1,,
lips,6,,
leanness,1,,
fallacy,2,,
spirituality,26,,
deut,2,,
strength,92,,
elder,11,,
snake,5,,
sense,9,,
fault,1,,
fanatics,1,,
disappearance,1,,
sewage,1,,
stubbornness,3,,
january,1,,
whole,3,,
gal,6,,
efficiency,2,,
rightness,4,,
weight,3,,
property,1,,
biographies,2,,
action,12,,
symbolise,1,,
nakedness,10,,
palace,15,,
rebel,2,,
today,34,,
doubt,13,,
servant,75,,
place,74,,
distinction,1,,
chap,7,,
inside,2,,
estimate,3,,
critics,1,,
scale,1,,
decline,2,,
summit,1,,
songs,7,,
dignity,5,,
priest,14,,
time,790,,
future,14,,
comparison,10,,
humiliation,1,,
shame,12,,
bush,2,,
halt,1,,
christ,211,,
harmony,3,,
lane,1,,
holiness,30,,
machine,1,,
incident,12,,
decision,34,,
sicknesses,4,,
clothe,3,,
danger,86,,
crystal,1,,
alms,1,,
uriah,3,,
israelite,2,,
susannah,1,,
thirst,5,,
virtue,3,,
point,9,,
sick,13,,
rituals,1,,
struggle,4,,
ones,14,,
gun,1,,
lions,2,,
babylon,3,,
land,4,,
malayalee,1,,
kindness,21,,
diseases,4,,
philippian,3,,
temptations,39,,
coin,1,,
manifestation,4,,
vindication,4,,
basket,3,,
stream,1,,
jonah,11,,
preference,1,,
cain,19,,
hell,87,,
jas,9,,
dross,1,,
demon,12,,
thursday,1,,
jael,1,,
sight,3,,
apostles,41,,
ruler,2,,
worshippers,3,,
grave,3,,
reactions,1,,
wagon,1,,
difficulty,3,,
one,88,,
pleasure,9,,
ye,5,,
neck,1,,
pleasers,10,,
manna,14,,
penny,1,,
pick,1,,
sovereign,1,,
secret,19,,
herdsman,3,,
minor,2,,
loners,1,,
genealogy,2,,
lender,1,,
barrenness,2,,
families,1,,
atheists,1,,
bath,1,,
oxen,8,,
kilometers,1,,
lip,1,,
chron,10,,
shack,1,,
remorse,1,,
height,1,,
missionary,9,,
dowry,1,,
health,1,,
generation,31,,
years,130,,
recreation,1,,
stephanas,1,,
carpenter,4,,
boundaries,1,,
friends,16,,
brethren,20,,
eve,25,,
shoulder,2,,
commendation,3,,
discord,1,,
signature,1,,
hast,7,,
jellyfish,1,,
caesar,1,,
elbow,3,,
allmen,1,,
clay,6,,
stomach,5,,
mercies,4,,
alternative,1,,
eternal,1,,
qualifications,2,,
traditions,1,,
reconcilers,1,,
cleverness,26,,
dad,4,,
headship,2,,
variety,1,,
doubtless,3,,
heareth,2,,
outcast,1,,
article,7,,
mid,6,,
paul,199,,
iii,4,,
secrets,1,,
elisha,38,,
example,10,,
heathen,3,,
inmates,1,,
hip,1,,
convert,5,,
brown,1,,
break,2,,
considerations,1,,
advancement,1,,
silver,7,,
knives,1,,
minister,1,,
robot,2,,
examination,2,,
school,3,,
purity,7,,
eyesight,1,,
un,1,,
charismatics,2,,
intention,3,,
workers,2,,
exhort,1,,
nee,1,,
examples,7,,
giants,3,,
profession,19,,
grace,21,,
fruitfulness,4,,
cup,17,,
amputation,1,,
partnership,4,,
knowledge,21,,
speak,2,,
hierarchy,1,,
demonstration,6,,
outsider,2,,
hindi,1,,
brightness,3,,
